0.538 0.538
0.003 0.003
0.003 0.003
0.538 0.538
0.905 0.484 0.331 -1.000
   ma    mb  gmab
    0   222   222
    1   400  1040
    2   195   447
    3   259   552
    4   570   330
    5   963   963
    6   298   408
    7   931    85
    8    46   725
    9   493   493
   10   300   300
   11  1070  1062
   12   205   205
   13   530   530
   14   196   556
   15     7     7
   16    25    25
   17    31    31
   18   464   421
   19   871   871
   20   733   733
   21  1010   759
   22   560   560
   23   569   796
   24   143   143
   25  1006  1006
   26   743   829
   27   609   629
   28   924  1076
   29   994   504
   30   115   800
   31     3     3
   32   391   346
   33   554    75
   34   939   939
   35   365   365
   36   793   615
   37   431   431
   38   209   209
   39  1033  1033
   40   537   537
   41   786   672
   42   562   702
   43   814   814
   44   880   880
   45  1077  1077
   46   954   219
   47   398   398
   48   329   936
   49   767   767
   50   626   626
   51   603   603
   52   306   306
   53   299   898
   54   384   384
   55   728   893
   56   261   261
   57   260   609
   58   853   389
   59  1039  1039
   60  1000  1000
   61   960   236
   62   636   636
   63    90   838
   64   612   612
   65   442   480
   66   231   231
   67   185   185
   68   693   263
   69   236   434
   70   735   735
   71  1038  1038
   72   958   197
   73   642   642
   74   746   746
   75   525   525
   76   141   141
   77    12    12
   78   244   723
   79   278   278
   80   751   751
   81   565   713
   82   162   162
   83   242   738
   84   707   707
   85     5     5
   86   366   366
   87   385   385
   88   850   850
   89   120    59
   90   335   350
   91   248   248
   92   795   296
   93   347   347
   94   226  1092
   95  1106   254
   96    71    71
   97    28   771
   98   459   459
   99   500   500
  100   566   566
  101   157   470
  102  1007  1007
  103   307   286
  104   107   107
  105   429   429
  106  1129  1129
  107   302   824
  108   206   206
  109  1107  1109
  110   405   405
  111   723   271
  112   831   831
  113   726   726
  114   461   835
  115   878   878
  116  1101  1101
  117   382   288
  118   989   989
  119    65    65
  120   583   472
  121   466   691
  122   835   112
  123  1089  1089
  124   821   821
  125   686   686
  126   748   170
  127   313    28
  128   828   828
  129   292   292
  130   371   371
  131   153   671
  132   834   834
  133  1035  1035
  134   417   417
